INFO  - 2013-07-16 10:09:11.274; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_fa.txt
INFO  - 2013-07-16 10:09:11.279; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_fi.txt
INFO  - 2013-07-16 10:09:11.285; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_fr.txt
INFO  - 2013-07-16 10:09:11.290; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_ga.txt
INFO  - 2013-07-16 10:09:11.296; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_gl.txt
INFO  - 2013-07-16 10:09:11.301; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_hi.txt
INFO  - 2013-07-16 10:09:11.307; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_hu.txt
INFO  - 2013-07-16 10:09:11.312; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_hy.txt
INFO  - 2013-07-16 10:09:11.318; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_id.txt
INFO  - 2013-07-16 10:09:11.323; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_it.txt
INFO  - 2013-07-16 10:09:11.329; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_ja.txt
INFO  - 2013-07-16 10:09:11.334; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_lv.txt
INFO  - 2013-07-16 10:09:11.340; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_nl.txt
INFO  - 2013-07-16 10:09:11.345; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_no.txt
INFO  - 2013-07-16 10:09:11.350; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_pt.txt
INFO  - 2013-07-16 10:09:11.356; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_ro.txt
INFO  - 2013-07-16 10:09:11.361; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_ru.txt
INFO  - 2013-07-16 10:09:11.366; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_sv.txt
INFO  - 2013-07-16 10:09:11.371; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_th.txt
INFO  - 2013-07-16 10:09:11.377; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/stopwords_tr.txt
INFO  - 2013-07-16 10:09:11.382; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/lang/userdict_ja.txt
INFO  - 2013-07-16 10:09:11.394; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/mapping-FoldToASCII.txt
INFO  - 2013-07-16 10:09:11.400; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/mapping-ISOLatin1Accent.txt
INFO  - 2013-07-16 10:09:11.405; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/protwords.txt
INFO  - 2013-07-16 10:09:11.410; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/schema.xml
INFO  - 2013-07-16 10:09:11.415; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/scripts.conf
INFO  - 2013-07-16 10:09:11.420; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/solrconfig.xml
INFO  - 2013-07-16 10:09:11.425; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/spellings.txt
INFO  - 2013-07-16 10:09:11.429; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/stopwords.txt
INFO  - 2013-07-16 10:09:11.433; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/synonyms.txt
INFO  - 2013-07-16 10:09:11.438; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/update-script.js
INFO  - 2013-07-16 10:09:11.442; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/browse.vm
INFO  - 2013-07-16 10:09:11.448; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/cluster.vm
INFO  - 2013-07-16 10:09:11.454; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/clusterResults.vm
INFO  - 2013-07-16 10:09:11.458; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/debug.vm
INFO  - 2013-07-16 10:09:11.464; org.apache.solr.common.cloud.SolrZkClient; makePath: /configs/logmill/velocity/did_you_mean.vm
